"Source:","G:\Mi unidad\UTN FRA\Diseño Asistido por Computadora\Proyecto Oscilador 555\Oscilador_555\Oscilador_555.kicad_sch"
"Date:","11/8/2023 12:19:20 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\MisProgramas\KICAD_6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"2","2","C1(1)1, C7(1)1","100u","Device:C","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","~"
"3","2","C2(2)1, C8(2)1","10u","Device:C","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","~"
"4","2","C3(3)1, C9(3)1","1u","Device:C","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","~"
"5","2","C4(4)1, C10(5)1","0.1u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"6","2","C5(5)1, C11(5)1","0.01u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"7","2","C6(6)1, C12(6)1","0.001u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"8","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_5mm","~"
"9","1","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical"," ~"
"10","12","JP1(1)1, JP2(2)1, JP3(3)1, JP4(4)1, JP5(5)1, JP6(6)1, JP7(1)1, JP8(2)1, JP9(3)1, JP10(4)1, JP11(5)1, JP12(6)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"11","2","RA11, RA12","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"12","1","RA21","150k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Horizontal","~"
"13","1","RA22","100K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Horizontal","~"
"14","1","RB1","14440","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"15","1","RL1","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"16","1","TP1","SAL1","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"17","1","TP2","RANGE FRE","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"18","1","TP3","RANGE DC","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"19","1","TP4","SAL2","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"20","2","U1, U2","NE555P","Timer:NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"21","1","V1","12V","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
